date,yhat,yhat_lower,yhat_upper,actual,category,prophet_forecast,prophet_lower,prophet_upper,sku_id,region
2025-12-27,69.06741771416785,60.88971980807138,76.56978309045164,66,Electronics,69.06741771416785,60.88971980807138,76.56978309045164,SKU-100000,Central
2025-12-28,46.39267491043277,38.95527444357415,53.95168054349059,45,Electronics,46.39267491043277,38.95527444357415,53.95168054349059,SKU-100000,Central
2025-12-29,39.300583252431856,31.952679651808616,46.67111728917608,39,Electronics,39.300583252431856,31.952679651808616,46.67111728917608,SKU-100000,Central
2025-12-30,59.95478719745091,52.52138995750508,67.79396335055463,68,Electronics,59.95478719745091,52.52138995750508,67.79396335055463,SKU-100000,Central
2025-12-31,42.55123018359184,34.6242899801029,49.80558003346524,43,Electronics,42.55123018359184,34.6242899801029,49.80558003346524,SKU-100000,Central
2026-01-01,46.39712017647789,38.329622077640146,53.868346347967915,54,Electronics,46.39712017647789,38.329622077640146,53.868346347967915,SKU-100000,Central
2026-01-02,40.33751675515283,33.11686605939624,48.258995079284226,36,Electronics,40.33751675515283,33.11686605939624,48.258995079284226,SKU-100000,Central
2026-01-03,41.40885059036702,33.81440520359468,49.438560342137194,41,Electronics,41.40885059036702,33.81440520359468,49.438560342137194,SKU-100000,Central
2026-01-04,36.85186630285676,29.392590175877366,44.64143176734948,46,Electronics,36.85186630285676,29.392590175877366,44.64143176734948,SKU-100000,Central
2026-01-05,41.916966644413264,33.885273888062045,49.348041558048735,45,Electronics,41.916966644413264,33.885273888062045,49.348041558048735,SKU-100000,Central
2026-01-06,42.355652274330254,35.23491254607492,49.70298298415317,44,Electronics,42.355652274330254,35.23491254607492,49.70298298415317,SKU-100000,Central
2026-01-07,44.78515419492472,36.98363063307104,52.69647761956056,44,Electronics,44.78515419492472,36.98363063307104,52.69647761956056,SKU-100000,Central
2026-01-08,39.38127197070282,31.942792566801746,47.28576821327677,43,Electronics,39.38127197070282,31.942792566801746,47.28576821327677,SKU-100000,Central
2026-01-09,44.956120028481614,37.77164336970675,52.798869027420906,46,Electronics,44.956120028481614,37.77164336970675,52.798869027420906,SKU-100000,Central
2026-01-10,50.36239439448432,43.066445691555124,57.99650864765066,49,Electronics,50.36239439448432,43.066445691555124,57.99650864765066,SKU-100000,Central
2026-01-11,55.4618845367119,47.89168233121718,63.35446333110945,50,Electronics,55.4618845367119,47.89168233121718,63.35446333110945,SKU-100000,Central
2026-01-12,44.44859186530723,37.00362180620974,52.148656064469364,42,Electronics,44.44859186530723,37.00362180620974,52.148656064469364,SKU-100000,Central
2026-01-13,49.53364751187577,41.51331483617955,57.042739455966824,47,Electronics,49.53364751187577,41.51331483617955,57.042739455966824,SKU-100000,Central
2026-01-14,62.28496890901346,55.016460204444996,69.93254252967932,58,Electronics,62.28496890901346,55.016460204444996,69.93254252967932,SKU-100000,Central
2026-01-15,56.14634327069903,48.607277088296655,63.660931470880904,69,Electronics,56.14634327069903,48.607277088296655,63.660931470880904,SKU-100000,Central
2026-01-16,50.59034456318191,43.18263396842932,57.89522976604446,47,Electronics,50.59034456318191,43.18263396842932,57.89522976604446,SKU-100000,Central
2025-12-27,68.22219938941284,60.73859752332385,75.56536664987992,70,Electronics,68.22219938941284,60.73859752332385,75.56536664987992,SKU-100000,East
2025-12-28,43.78476172873958,36.20789031250994,51.195448268289766,44,Electronics,43.78476172873958,36.20789031250994,51.195448268289766,SKU-100000,East
2025-12-29,47.68222150764345,40.992463767089696,55.74907421231311,49,Electronics,47.68222150764345,40.992463767089696,55.74907421231311,SKU-100000,East
2025-12-30,54.08559932538133,46.394288149429435,61.36003652155879,50,Electronics,54.08559932538133,46.394288149429435,61.36003652155879,SKU-100000,East
2025-12-31,71.32420601877303,63.767510077590835,78.65404519607414,68,Electronics,71.32420601877303,63.767510077590835,78.65404519607414,SKU-100000,East
2026-01-01,53.495817556165576,46.077319553797686,61.00475669044516,59,Electronics,53.495817556165576,46.077319553797686,61.00475669044516,SKU-100000,East
2026-01-02,50.038401716428694,42.51355043100716,58.214395565187765,47,Electronics,50.038401716428694,42.51355043100716,58.214395565187765,SKU-100000,East
2026-01-03,50.429521886025896,43.01962428093862,57.97589481535888,44,Electronics,50.429521886025896,43.01962428093862,57.97589481535888,SKU-100000,East
2026-01-04,39.778738873761746,32.13244430979979,47.151305626784215,56,Electronics,39.778738873761746,32.13244430979979,47.151305626784215,SKU-100000,East
2026-01-05,43.65938869628559,36.470328811167974,51.07750451164338,57,Electronics,43.65938869628559,36.470328811167974,51.07750451164338,SKU-100000,East
2026-01-06,66.30521137293283,58.292431876015755,73.52918002835492,72,Electronics,66.30521137293283,58.292431876015755,73.52918002835492,SKU-100000,East
2026-01-07,62.59637823050569,54.786334794086066,70.0120828570176,63,Electronics,62.59637823050569,54.786334794086066,70.0120828570176,SKU-100000,East
2026-01-08,54.696382510408256,47.14031631121039,62.75376019476376,54,Electronics,54.696382510408256,47.14031631121039,62.75376019476376,SKU-100000,East
2026-01-09,45.14349649883477,37.1484651705295,52.782920486181716,39,Electronics,45.14349649883477,37.1484651705295,52.782920486181716,SKU-100000,East
2026-01-10,48.131372878490936,40.59708685439301,55.72770475161713,52,Electronics,48.131372878490936,40.59708685439301,55.72770475161713,SKU-100000,East
2026-01-11,54.31541368300775,46.9708032738562,61.58632777779685,52,Electronics,54.31541368300775,46.9708032738562,61.58632777779685,SKU-100000,East
2026-01-12,49.212777903737006,42.07145254616427,56.4584607984,51,Electronics,49.212777903737006,42.07145254616427,56.4584607984,SKU-100000,East
2026-01-13,48.27820427179971,40.52016610837934,55.81303025718983,46,Electronics,48.27820427179971,40.52016610837934,55.81303025718983,SKU-100000,East
2026-01-14,67.82125708740897,60.50723218154052,75.44636518921021,62,Electronics,67.82125708740897,60.50723218154052,75.44636518921021,SKU-100000,East
2026-01-15,51.36790245069006,44.20929960554354,59.473706685633495,53,Electronics,51.36790245069006,44.20929960554354,59.473706685633495,SKU-100000,East
2026-01-16,55.6623946355966,47.82100029725115,63.48061546635677,50,Electronics,55.6623946355966,47.82100029725115,63.48061546635677,SKU-100000,East
2025-12-27,46.29244433263179,38.637562189939594,54.51908950279644,50,Electronics,46.29244433263179,38.637562189939594,54.51908950279644,SKU-100000,North
2025-12-28,62.15269505404262,54.283469056686286,69.97162300803403,57,Electronics,62.15269505404262,54.283469056686286,69.97162300803403,SKU-100000,North
2025-12-29,62.1235250332244,54.39167710248315,69.84961672291114,51,Electronics,62.1235250332244,54.39167710248315,69.84961672291114,SKU-100000,North
2025-12-30,53.657500769042024,45.97676485795066,61.06883920770742,56,Electronics,53.657500769042024,45.97676485795066,61.06883920770742,SKU-100000,North
2025-12-31,86.99242690593225,79.1399405970934,94.38672739374603,87,Electronics,86.99242690593225,79.1399405970934,94.38672739374603,SKU-100000,North
2026-01-01,57.80328259199346,50.18000322856509,65.44014363519703,53,Electronics,57.80328259199346,50.18000322856509,65.44014363519703,SKU-100000,North
2026-01-02,47.77854008508943,40.287205763073366,55.98633278131116,54,Electronics,47.77854008508943,40.287205763073366,55.98633278131116,SKU-100000,North
2026-01-03,53.98865233204771,46.084769342273795,61.52795365921979,48,Electronics,53.98865233204771,46.084769342273795,61.52795365921979,SKU-100000,North
2026-01-04,45.30911750766995,38.071423779772424,53.69020415802427,29,Electronics,45.30911750766995,38.071423779772424,53.69020415802427,SKU-100000,North
2026-01-05,63.14423472920837,55.70229179132099,70.97863651733758,63,Electronics,63.14423472920837,55.70229179132099,70.97863651733758,SKU-100000,North
2026-01-06,56.07985142989504,48.14334723217266,63.6039512023426,58,Electronics,56.07985142989504,48.14334723217266,63.6039512023426,SKU-100000,North
2026-01-07,71.59920924236178,63.26179045594067,79.31960110990244,73,Electronics,71.59920924236178,63.26179045594067,79.31960110990244,SKU-100000,North
2026-01-08,58.29856580401957,50.49722004924484,65.91273594780745,53,Electronics,58.29856580401957,50.49722004924484,65.91273594780745,SKU-100000,North
2026-01-09,55.64823908055272,48.21546778905022,63.51445590471534,53,Electronics,55.64823908055272,48.21546778905022,63.51445590471534,SKU-100000,North
2026-01-10,64.59990510172663,56.537334444780434,72.29981244599388,62,Electronics,64.59990510172663,56.537334444780434,72.29981244599388,SKU-100000,North
2026-01-11,74.10736032852328,66.19965098947573,82.00144129672077,73,Electronics,74.10736032852328,66.19965098947573,82.00144129672077,SKU-100000,North
2026-01-12,64.80240851377769,57.173489288578054,73.50881003684867,54,Electronics,64.80240851377769,57.173489288578054,73.50881003684867,SKU-100000,North
2026-01-13,56.41293358812275,48.65323842531091,64.21815912054186,50,Electronics,56.41293358812275,48.65323842531091,64.21815912054186,SKU-100000,North
2026-01-14,55.767388691429574,47.85697660212383,62.86886036275141,56,Electronics,55.767388691429574,47.85697660212383,62.86886036275141,SKU-100000,North
2026-01-15,60.25175868474802,52.28622183691028,67.86934772394109,58,Electronics,60.25175868474802,52.28622183691028,67.86934772394109,SKU-100000,North
