date,sku_id,region,category,units_ordered,best_forecast,forecast_error,abs_forecast_error,model_used,model_wmape
2025-12-27,SKU-100000,Central,Electronics,66,71.59256,-5.592559814453125,5.592559814453125,XGBoost,11.0649
2025-12-28,SKU-100000,Central,Electronics,45,46.043865,-1.0438652038574219,1.0438652038574219,XGBoost,11.0649
2025-12-29,SKU-100000,Central,Electronics,39,40.24494,-1.2449417114257812,1.2449417114257812,XGBoost,11.0649
2025-12-30,SKU-100000,Central,Electronics,68,58.3962,9.603801727294922,9.603801727294922,XGBoost,11.0649
2025-12-31,SKU-100000,Central,Electronics,43,46.503677,-3.5036773681640625,3.5036773681640625,XGBoost,11.0649
2026-01-01,SKU-100000,Central,Electronics,54,47.138634,6.861366271972656,6.861366271972656,XGBoost,11.0649
2026-01-02,SKU-100000,Central,Electronics,36,43.31447,-7.3144683837890625,7.3144683837890625,XGBoost,11.0649
2026-01-03,SKU-100000,Central,Electronics,41,43.738117,-2.738117218017578,2.738117218017578,XGBoost,11.0649
2026-01-04,SKU-100000,Central,Electronics,46,39.01999,6.980010986328125,6.980010986328125,XGBoost,11.0649
2026-01-05,SKU-100000,Central,Electronics,45,43.269573,1.7304267883300781,1.7304267883300781,XGBoost,11.0649
2026-01-06,SKU-100000,Central,Electronics,44,42.134605,1.8653945922851562,1.8653945922851562,XGBoost,11.0649
2026-01-07,SKU-100000,Central,Electronics,44,46.1448,-2.1447982788085938,2.1447982788085938,XGBoost,11.0649
2026-01-08,SKU-100000,Central,Electronics,43,39.890816,3.1091842651367188,3.1091842651367188,XGBoost,11.0649
2026-01-09,SKU-100000,Central,Electronics,46,42.723656,3.2763442993164062,3.2763442993164062,XGBoost,11.0649
2026-01-10,SKU-100000,Central,Electronics,49,48.286274,0.7137260437011719,0.7137260437011719,XGBoost,11.0649
2026-01-11,SKU-100000,Central,Electronics,50,50.62228,-0.6222801208496094,0.6222801208496094,XGBoost,11.0649
2026-01-12,SKU-100000,Central,Electronics,42,42.315063,-0.3150634765625,0.3150634765625,XGBoost,11.0649
2026-01-13,SKU-100000,Central,Electronics,47,47.46449,-0.4644889831542969,0.4644889831542969,XGBoost,11.0649
2026-01-14,SKU-100000,Central,Electronics,58,56.966446,1.0335540771484375,1.0335540771484375,XGBoost,11.0649
2026-01-15,SKU-100000,Central,Electronics,69,51.61656,17.383438110351562,17.383438110351562,XGBoost,11.0649
2026-01-16,SKU-100000,Central,Electronics,47,47.28151,-0.2815093994140625,0.2815093994140625,XGBoost,11.0649
2025-12-27,SKU-100000,East,Electronics,70,68.790344,1.20965576171875,1.20965576171875,XGBoost,11.0649
2025-12-28,SKU-100000,East,Electronics,44,45.861134,-1.8611335754394531,1.8611335754394531,XGBoost,11.0649
2025-12-29,SKU-100000,East,Electronics,49,52.597538,-3.5975379943847656,3.5975379943847656,XGBoost,11.0649
2025-12-30,SKU-100000,East,Electronics,50,54.183838,-4.183837890625,4.183837890625,XGBoost,11.0649
2025-12-31,SKU-100000,East,Electronics,68,69.2167,-1.2166976928710938,1.2166976928710938,XGBoost,11.0649
2026-01-01,SKU-100000,East,Electronics,59,54.932037,4.067962646484375,4.067962646484375,XGBoost,11.0649
2026-01-02,SKU-100000,East,Electronics,47,49.829483,-2.8294830322265625,2.8294830322265625,XGBoost,11.0649
2026-01-03,SKU-100000,East,Electronics,44,51.9421,-7.942100524902344,7.942100524902344,XGBoost,11.0649
2026-01-04,SKU-100000,East,Electronics,56,44.298527,11.701473236083984,11.701473236083984,XGBoost,11.0649
2026-01-05,SKU-100000,East,Electronics,57,48.16945,8.830551147460938,8.830551147460938,XGBoost,11.0649
2026-01-06,SKU-100000,East,Electronics,72,66.705505,5.29449462890625,5.29449462890625,XGBoost,11.0649
2026-01-07,SKU-100000,East,Electronics,63,63.13391,-0.1339111328125,0.1339111328125,XGBoost,11.0649
2026-01-08,SKU-100000,East,Electronics,54,56.687977,-2.687976837158203,2.687976837158203,XGBoost,11.0649
2026-01-09,SKU-100000,East,Electronics,39,48.141758,-9.14175796508789,9.14175796508789,XGBoost,11.0649
2026-01-10,SKU-100000,East,Electronics,52,49.939137,2.060863494873047,2.060863494873047,XGBoost,11.0649
2026-01-11,SKU-100000,East,Electronics,52,56.991974,-4.991973876953125,4.991973876953125,XGBoost,11.0649
2026-01-12,SKU-100000,East,Electronics,51,52.062996,-1.0629959106445312,1.0629959106445312,XGBoost,11.0649
2026-01-13,SKU-100000,East,Electronics,46,50.268005,-4.26800537109375,4.26800537109375,XGBoost,11.0649
2026-01-14,SKU-100000,East,Electronics,62,69.282715,-7.28271484375,7.28271484375,XGBoost,11.0649
2026-01-15,SKU-100000,East,Electronics,53,53.547653,-0.5476531982421875,0.5476531982421875,XGBoost,11.0649
2026-01-16,SKU-100000,East,Electronics,50,56.280987,-6.280986785888672,6.280986785888672,XGBoost,11.0649
