date,sku_id,region,units_ordered,naive_forecast,naive_error,seasonal_forecast,ma7_forecast,drift_forecast,category
2025-12-27,SKU-100000,Central,66,57,9,53.0,53.714285714285715,57.005524861878456,Electronics
2025-12-28,SKU-100000,Central,45,57,-12,45.0,53.714285714285715,57.011049723756905,Electronics
2025-12-29,SKU-100000,Central,39,57,-18,40.0,53.714285714285715,57.01657458563536,Electronics
2025-12-30,SKU-100000,Central,68,57,11,77.0,53.714285714285715,57.02209944751381,Electronics
2025-12-31,SKU-100000,Central,43,57,-14,49.0,53.714285714285715,57.027624309392266,Electronics
2026-01-01,SKU-100000,Central,54,57,-3,55.0,53.714285714285715,57.033149171270715,Electronics
2026-01-02,SKU-100000,Central,36,57,-21,57.0,53.714285714285715,57.03867403314917,Electronics
2026-01-03,SKU-100000,Central,41,57,-16,57.0,53.714285714285715,57.04419889502763,Electronics
2026-01-04,SKU-100000,Central,46,57,-11,57.0,53.714285714285715,57.049723756906076,Electronics
2026-01-05,SKU-100000,Central,45,57,-12,57.0,53.714285714285715,57.05524861878453,Electronics
2026-01-06,SKU-100000,Central,44,57,-13,57.0,53.714285714285715,57.06077348066298,Electronics
2026-01-07,SKU-100000,Central,44,57,-13,57.0,53.714285714285715,57.06629834254144,Electronics
2026-01-08,SKU-100000,Central,43,57,-14,57.0,53.714285714285715,57.07182320441989,Electronics
2026-01-09,SKU-100000,Central,46,57,-11,57.0,53.714285714285715,57.07734806629834,Electronics
2026-01-10,SKU-100000,Central,49,57,-8,57.0,53.714285714285715,57.0828729281768,Electronics
2026-01-11,SKU-100000,Central,50,57,-7,57.0,53.714285714285715,57.08839779005525,Electronics
2026-01-12,SKU-100000,Central,42,57,-15,57.0,53.714285714285715,57.0939226519337,Electronics
2026-01-13,SKU-100000,Central,47,57,-10,57.0,53.714285714285715,57.09944751381215,Electronics
2026-01-14,SKU-100000,Central,58,57,1,57.0,53.714285714285715,57.10497237569061,Electronics
2026-01-15,SKU-100000,Central,69,57,12,57.0,53.714285714285715,57.110497237569064,Electronics
2026-01-16,SKU-100000,Central,47,57,-10,57.0,53.714285714285715,57.11602209944751,Electronics
2025-12-27,SKU-100000,East,70,44,26,42.0,56.0,43.99815837937385,Electronics
2025-12-28,SKU-100000,East,44,44,0,72.0,56.0,43.996316758747696,Electronics
2025-12-29,SKU-100000,East,49,44,5,66.0,56.0,43.994475138121544,Electronics
2025-12-30,SKU-100000,East,50,44,6,65.0,56.0,43.9926335174954,Electronics
2025-12-31,SKU-100000,East,68,44,24,41.0,56.0,43.99079189686925,Electronics
2026-01-01,SKU-100000,East,59,44,15,62.0,56.0,43.988950276243095,Electronics
2026-01-02,SKU-100000,East,47,44,3,44.0,56.0,43.98710865561694,Electronics
2026-01-03,SKU-100000,East,44,44,0,44.0,56.0,43.98526703499079,Electronics
2026-01-04,SKU-100000,East,56,44,12,44.0,56.0,43.98342541436464,Electronics
2026-01-05,SKU-100000,East,57,44,13,44.0,56.0,43.98158379373849,Electronics
2026-01-06,SKU-100000,East,72,44,28,44.0,56.0,43.97974217311234,Electronics
2026-01-07,SKU-100000,East,63,44,19,44.0,56.0,43.97790055248619,Electronics
2026-01-08,SKU-100000,East,54,44,10,44.0,56.0,43.97605893186004,Electronics
2026-01-09,SKU-100000,East,39,44,-5,44.0,56.0,43.974217311233886,Electronics
2026-01-10,SKU-100000,East,52,44,8,44.0,56.0,43.972375690607734,Electronics
2026-01-11,SKU-100000,East,52,44,8,44.0,56.0,43.97053406998158,Electronics
2026-01-12,SKU-100000,East,51,44,7,44.0,56.0,43.96869244935543,Electronics
2026-01-13,SKU-100000,East,46,44,2,44.0,56.0,43.966850828729285,Electronics
2026-01-14,SKU-100000,East,62,44,18,44.0,56.0,43.96500920810313,Electronics
2026-01-15,SKU-100000,East,53,44,9,44.0,56.0,43.96316758747698,Electronics
2026-01-16,SKU-100000,East,50,44,6,44.0,56.0,43.96132596685083,Electronics
2025-12-27,SKU-100000,North,50,65,-15,45.0,56.142857142857146,65.01289134438306,Electronics
2025-12-28,SKU-100000,North,57,65,-8,80.0,56.142857142857146,65.02578268876611,Electronics
2025-12-29,SKU-100000,North,51,65,-14,46.0,56.142857142857146,65.03867403314918,Electronics
2025-12-30,SKU-100000,North,56,65,-9,61.0,56.142857142857146,65.05156537753223,Electronics
2025-12-31,SKU-100000,North,87,65,22,42.0,56.142857142857146,65.06445672191529,Electronics
2026-01-01,SKU-100000,North,53,65,-12,54.0,56.142857142857146,65.07734806629834,Electronics
