sku_id,region,category,mean_forecast,std_error,mae,wmape_combo,n_days,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,primary_warehouse_id,z_score,lead_time_days,safety_stock_units,safety_stock_value_usd,annual_storage_cost_usd
SKU-100000,Central,Electronics,47.367073,5.457900508288574,3.705857958112444,7.614776618807589,21,50.98,190.65,0.55,0.959,WH-C100000,1.7391976652852517,2,13.42,684.15,94.07
SKU-100000,East,Electronics,55.374466,5.338998833589512,4.342560359409878,8.013512079742732,21,50.98,190.65,0.55,0.959,WH-E100000,1.7391976652852517,4,18.57,946.7,130.17
SKU-100000,North,Electronics,55.757168,6.034166580403939,4.8784995306105845,8.594671984637209,21,50.98,190.65,0.55,0.959,WH-N100000,1.7391976652852517,4,20.99,1070.07,147.13
SKU-100000,South,Electronics,46.191326,6.185509581734083,4.438854580833798,9.580261675406696,21,50.98,190.65,0.55,0.959,WH-S100000,1.7391976652852517,6,26.35,1343.32,184.71
SKU-100000,West,Electronics,53.082554,7.383018484840663,6.029169355119977,10.943176866731871,21,50.98,190.65,0.55,0.959,WH-W100000,1.7391976652852517,6,36.17,1843.95,220.46
SKU-100001,Central,Toys,9.648827,1.4745818813230995,1.09628845396496,11.568873074158509,21,14.98,175.66,1.79,0.972,WH-C100000,1.911035647549118,2,3.99,59.77,26.75
SKU-100001,East,Toys,11.676064,1.4180990582203683,1.164963790348598,10.777198013016994,21,14.98,175.66,1.79,0.972,WH-E100000,1.911035647549118,4,5.42,81.19,36.33
SKU-100001,North,Toys,13.15635,1.6283287695766828,1.479416847229004,12.088620105417464,21,14.98,175.66,1.79,0.972,WH-N100000,1.911035647549118,4,6.22,93.18,41.7
SKU-100001,South,Toys,9.567447,2.279057200110919,1.96790075302124,21.63660502464921,21,14.98,175.66,1.79,0.972,WH-S100000,1.911035647549118,6,10.67,159.84,71.53
SKU-100001,West,Toys,11.587381,1.9288974196647088,1.2254945210048132,10.90482408137832,21,14.98,175.66,1.79,0.972,WH-W100000,1.911035647549118,6,10.38,155.49,60.53
SKU-100002,Central,Toys,39.008675,6.211053356919442,5.837339855375744,16.236309510003647,21,22.32,198.29,0.86,0.968,WH-C100000,1.8521798587690466,2,16.27,363.15,78.08
SKU-100002,East,Toys,41.287643,5.415752389499964,4.837389264787946,12.388435906910065,21,22.32,198.29,0.86,0.968,WH-E100000,1.8521798587690466,4,20.06,447.74,96.26
SKU-100002,North,Toys,43.686516,4.946341498427592,4.457541329520089,10.734904565662022,21,22.32,198.29,0.86,0.968,WH-N100000,1.8521798587690466,4,18.32,408.9,87.91
SKU-100002,South,Toys,34.946877,6.225522548543484,4.88047608875093,14.578947043809398,21,22.32,198.29,0.86,0.968,WH-S100000,1.8521798587690466,6,28.24,630.32,135.52
SKU-100002,West,Toys,41.370255,7.251561150690559,5.6204842158726285,13.772481726441118,21,22.32,198.29,0.86,0.968,WH-W100000,1.8521798587690466,6,37.83,844.37,157.88
SKU-100003,Central,Beauty,38.777695,6.532656510571645,5.19108027503604,13.32673418612341,21,61.85,78.7,0.76,0.931,WH-C100000,1.4832801273356213,2,16.44,1016.81,161.0
SKU-100003,East,Beauty,40.30069,4.986398455159016,3.8108028230212985,9.493103106585556,21,61.85,78.7,0.76,0.931,WH-E100000,1.4832801273356213,4,17.75,1097.84,173.8
SKU-100003,North,Beauty,44.851307,4.220127090663713,3.669288090297154,7.952017524945311,21,61.85,78.7,0.76,0.931,WH-N100000,1.4832801273356213,4,15.02,928.99,147.13
SKU-100003,South,Beauty,34.79944,5.339803159775316,4.18097060067313,11.722347462872133,21,61.85,78.7,0.76,0.931,WH-S100000,1.4832801273356213,6,23.28,1439.87,227.98
SKU-100003,West,Beauty,43.818806,6.894118416120324,6.181120282127743,13.272344150507074,21,61.85,78.7,0.76,0.931,WH-W100000,1.4832801273356213,6,34.57,2138.15,294.38
SKU-100004,Central,Electronics,48.76391,5.286477901203539,4.769833519345238,9.36135549650808,21,112.48,134.55,0.33,0.966,WH-C100000,1.825006821146403,2,13.64,1534.23,126.57
SKU-100004,East,Electronics,48.431137,4.640000426147897,4.065216427757626,8.046139953105442,21,112.48,134.55,0.33,0.966,WH-E100000,1.825006821146403,4,16.94,1905.41,157.2
SKU-100004,North,Electronics,58.51358,5.880523754640226,4.650539216541109,7.8886367906685715,21,112.48,134.55,0.33,0.966,WH-N100000,1.825006821146403,4,21.46,2413.82,199.14
SKU-100004,South,Electronics,43.27809,6.833000285642746,6.006661551339286,12.897739514227773,21,112.48,134.55,0.33,0.966,WH-S100000,1.825006821146403,6,30.55,3436.26,283.49
SKU-100004,West,Electronics,58.148994,6.327447261976393,4.885166894821894,8.657257780986258,21,112.48,134.55,0.33,0.966,WH-W100000,1.825006821146403,6,32.53,3658.97,262.52
SKU-100005,Central,Home,27.086254,3.686383583125299,2.762972967965262,9.801086525212778,21,118.88,33.69,0.21,0.975,WH-C100000,1.959963984540054,2,10.22,1214.95,63.79
